47,637939	48,248291	Durant
47,920227	48,507690	ces
48,248291	48,881531	dernières
48,652649	49,293518	décénnies.
49,530029	50,064087	Cette
49,751282	50,506592	vision
50,292969	50,918579	erronée
50,765991	51,208496	était
51,055908	51,971436	inoffensive.
52,726746	53,138733	Avec
53,047180	53,680420	l'émergence
53,588867	54,092407	des
53,833008	54,626465	technologies
54,298401	55,213928	numériques,
55,397034	55,702209	il
55,549622	55,946350	est
55,809021	56,373596	désormais
56,144714	56,983948	indispensable
56,861877	57,167053	de la
57,167053	57,746887	combattre.
58,792114	59,181213	Car
59,028625	59,402466	si
59,219360	59,623718	ces
59,486389	60,028076	technologies
59,768677	60,623169	permettent
60,417175	60,852051	un
60,737610	61,523438	extraordinaire
61,401367	62,049866	bouillonnement
62,049866	62,812805	créatif
62,911987	63,430786	et
63,163757	64,018250	facilitent
63,896179	64,376831	la
64,178467	64,888000	circulation
64,743042	65,177917	des
64,971924	65,597534	savoirs,
66,123962	66,650391	elles
66,452026	66,833496	peuvent
66,688538	67,062378	aussi
66,970825	67,359924	être
67,237854	67,771912	utilisées
67,588806	68,084717	pour
67,916870	68,649292	restreindre
68,389893	68,885803	et
68,679810	69,404602	contrôler
69,236755	69,938660	la culture
69,770813	70,228577	et la
70,022583	70,755005	connaissance
70,579529	71,105957	d'une
70,899963	71,426392	façon
71,296692	71,952820	qu'aucune
71,952820	72,502136	sociétés
72,387695	72,860718	libre
72,669983	73,112488	n'a
72,860718	73,326111	jamais
73,150635	73,722839	tolérée
73,593140	74,165344	jusque­-là.
